mix	wl0	wl1	wl2	wl3	wl4	wl5	wl6	wl7	name
649.fotonik3d_s-10881B	fotonik3d	fotonik3d	fotonik3d	fotonik3d	fotonik3d	fotonik3d	fotonik3d	fotonik3d	fotonik3d
605.mcf_s-994B	mcf	mcf	mcf	mcf	mcf	mcf	mcf	mcf	mcf
602.gcc_s-1850B	gcc	gcc	gcc	gcc	gcc	gcc	gcc	gcc	gcc
620.omnetpp_s-141B	omnetpp	omnetpp	omnetpp	omnetpp	omnetpp	omnetpp	omnetpp	omnetpp	omnetpp
603.bwaves_s-2931B	bwaves	bwaves	bwaves	bwaves	bwaves	bwaves	bwaves	bwaves	bwaves
654.roms_s-1007B	roms	roms	roms	roms	roms	roms	roms	roms	roms
607.cactuBSSN_s-2421B	cactuBSSN	cactuBSSN	cactuBSSN	cactuBSSN	cactuBSSN	cactuBSSN	cactuBSSN	cactuBSSN	cactuBSSN
621.wrf_s-6673B	wrf	wrf	wrf	wrf	wrf	wrf	wrf	wrf	wrf
628.pop2_s-17B	pop2	pop2	pop2	pop2	pop2	pop2	pop2	pop2	pop2
623.xalancbmk_s-592B	xalancbmk	xalancbmk	xalancbmk	xalancbmk	xalancbmk	xalancbmk	xalancbmk	xalancbmk	xalancbmk
add	add	add	add	add	add	add	add	add	add
copy	copy	copy	copy	copy	copy	copy	copy	copy	copy
scale	scale	scale	scale	scale	scale	scale	scale	scale	scale
triad	triad	triad	triad	triad	triad	triad	triad	triad	triad
add_copy	copy	copy	copy	copy	add	add	add	add	add_copy
add_scale	scale	scale	scale	scale	add	add	add	add	add_scale
add_triad	triad	triad	triad	triad	add	add	add	add	add_triad
copy_scale	copy	copy	copy	copy	scale	scale	scale	scale	copy_scale
copy_triad	copy	copy	copy	copy	triad	triad	triad	triad	copy_triad
scale_triad	triad	triad	triad	triad	scale	scale	scale	scale	scale_triad