workload	ideal	start_m
CF	0.998	1.001
BC	0.986	0.983
PageRank-D	0.992	0.980
BFS-CC	0.99	0.981
BFS	0.992	0.982
Radii	0.976	0.962
Triangle	0.985	0.968
Components	0.953	0.936
Comp-SC	0.956	0.938
PageRank	0.95	0.937
BFS-BV	0.983	0.972
BellmanF	0.998	0.982
MIS	0.999	0.996
0	0	0
fotonik3D	0.994	0.984
mcf	0.989	0.913
gcc	0.996	0.996
omnetpp	0.997	0.987
bwaves	0.983	0.983
roms	0.998	0.995
cactuBSSN	0.978	0.978
wrf	0.99	0.982
pop2	0.995	0.979
xalancbmk	0.999	0.996
0	0	0
canneal	0.995	0.986
fluidanimate	0.999	0.999
raytrace	0.997	0.995
facesim	0.991	0.984
streamc	0.976	0.975
0	0	0
LIGRA	0.981	0.970
SPEC	0.992	0.979
PARSEC	0.992	0.988
ALL	0.987	0.977